epoch,cost
148,3130.3608398438
149,3109.7878417969
150,3062.7661132813
151,3219.037109375
152,3164.1813964844
153,3122.8603515625
154,3173.1853027344
155,3156.0126953125
156,3102.0183105469
157,3079.5114746094
158,3058.5244140625
159,3013.9152832031
160,2984.7866210938
161,3000.8168945313
162,3079.9584960938
163,3243.7934570313
164,3142.3286132813
165,3023.7250976563
166,3032.2548828125
167,3080.3315429688
168,3167.1013183594
169,3135.2358398438
170,3111.2856445313
171,3223.6889648438
172,3147.5949707031
173,3235.7709960938
174,3090.986328125
175,3090.7895507813
176,3123.322265625
177,3074.9975585938
178,3093.5900878906
179,3002.8283691406
180,2987.1762695313
181,3040.7941894531
182,3044.15234375
183,3035.9724121094
184,3095.7373046875
185,3401.1645507813
186,3173.25
187,3062.916015625
188,3036.1628417969
189,3074.84375
190,3181.9577636719
191,3056.0751953125
192,3031.8049316406
193,3037.26171875
194,3103.796875
195,3068.7387695313
196,3221.6208496094
197,3228.6884765625
198,3092.9895019531
199,3059.1118164063
200,3029.8718261719
201,2975.6923828125
202,2968.4709472656
203,2962.5034179688
204,3005.6950683594
205,3101.3115234375
206,3112.9858398438
207,2952.2775878906
208,2950.4379882813
209,2993.7822265625
210,3118.9233398438
211,3278.2407226563
212,3012.40625
213,2916.1462402344
214,2877.4741210938
215,2917.7209472656
216,2952.1320800781
217,3013.6569824219
218,3120.7331542969
219,3145.501953125
220,3038.8454589844
221,3018.4152832031
222,2957.5815429688
223,2926.3315429688
224,2954.5922851563
225,2958.3076171875
226,3033.7470703125
227,3026.5190429688
228,3085.72265625
229,2979.0532226563
230,2919.0693359375
231,2897.6625976563
232,2948.3303222656
233,2984.5087890625
234,3074.9575195313
235,3036.1298828125
236,3112.50390625
237,3009.6218261719
238,3002.1376953125
239,2988.4599609375
240,2969.8344726563
241,2940.9506835938
242,2925.2697753906
243,2951.8525390625
244,3016.7392578125
245,3077.8544921875
246,3078.2905273438
247,3172.3093261719
248,3094.7153320313
249,3067.0788574219
250,3093.7155761719
251,3003.1274414063
252,3004.8642578125
253,2894.0571289063
254,2861.4609375
255,2832.0495605469
256,2836.28515625
257,2878.1723632813
258,2914.6560058594
259,3070.7470703125
260,3041.48828125
261,2966.9270019531
262,2962.7749023438
263,2929.4125976563
264,2982.6821289063
265,3042.0078125
266,3092.8334960938
267,3059.0258789063
268,3010.5974121094
269,3039.0434570313
270,3097.0568847656
271,3122.1313476563
272,2944.1398925781
273,3013.224609375
274,3022.6640625
275,2936.4389648438
276,2852.875
277,2870.0009765625
278,2873.5029296875
279,2862.2739257813
280,2940.96484375
281,3060.4047851563
282,2993.4331054688
283,2948.0712890625
284,2897.2768554688
285,2877.2604980469
286,2890.0078125
287,2987.2053222656
288,3139.869140625
289,3232.5905761719
290,3051.87890625
291,2968.2849121094
292,2905.6328125
293,2896.3229980469
294,2901.90234375
295,2963.5229492188
296,3043.333984375
297,3065.3000488281
298,3044.201171875
299,2922.4233398438
300,2954.6313476563
301,3100.505859375
302,3117.5307617188
303,3006.484375
304,2984.2897949219
305,2990.369140625
306,2914.5270996094
307,2886.6237792969
308,2846.8100585938
309,2843.3991699219
310,2886.732421875
311,3129.9067382813
312,3149.8110351563
313,3147.37890625
314,3054.384765625
315,2943.1484375
316,2933.6286621094
317,3032.3051757813
318,3054.271484375
319,2959.0290527344
320,2925.9028320313
321,2858.7321777344
322,2831.2622070313
323,2812.478515625
324,2813.408203125
325,2837.1557617188
326,2911.9943847656
327,2943.1970214844
328,2867.6801757813
329,2903.4145507813
330,2891.1655273438
331,2911.2429199219
332,2945.8830566406
333,2927.3698730469
334,2839.7893066406
335,2832.1196289063
336,3090.6459960938
337,3110.890625
338,3118.3854980469
339,2969.0424804688
340,2869.4479980469
341,2874.8928222656
342,2855.8603515625
343,2843.5544433594
344,3072.0336914063
345,3010.3359375
346,2931.1948242188
347,2856.263671875
348,2840.9033203125
349,2895.1303710938
350,2926.5385742188
351,2938.1987304688
352,2855.9375
353,2922.9541015625
354,3018.8063964844
355,3196.5512695313
356,2963.923828125
357,2829.6694335938
358,2897.1982421875
359,2875.6682128906
360,2878.1232910156
361,2960.8117675781
362,2880.2348632813
363,2806.8330078125
364,2948.8618164063
365,3042.7836914063
366,3007.2678222656
367,3152.8110351563
368,3013.6330566406
369,2894.7392578125
370,2856.1157226563
371,2821.3010253906
372,2799.6623535156
373,2910.861328125
374,3013.1977539063
375,3068.9809570313
376,3009.0971679688
377,2921.5258789063
378,2859.5283203125
379,2858.2084960938
380,2856.9533691406
381,2814.1860351563
382,2881.3942871094
383,3012.9130859375
384,3133.2895507813
385,3365.0900878906
386,3153.1508789063
387,2891.7973632813
388,2889.9033203125
389,2867.4868164063
390,2955.3098144531
391,3079.1806640625
392,3032.1953125
393,2943.7221679688
394,2927.9155273438
395,3031.8171386719
396,2984.7465820313
397,2877.7185058594
398,2941.5046386719
399,2937.2548828125
400,2847.5959472656
401,2809.5349121094
402,2838.4470214844
403,2789.4572753906
404,2775.5808105469
405,2769.5778808594
406,2759.7490234375
407,2790.1018066406
408,2782.5717773438
409,2934.3908691406
410,2930.2700195313
411,2948.9455566406
412,2961.498046875
413,2931.7431640625
414,2834.7700195313
415,2846.9677734375
416,2852.0463867188
417,2825.1962890625
418,2968.6943359375
419,2871.1430664063
420,2799.3208007813
421,2777.1381835938
422,2863.6550292969
423,2798.0139160156
424,2784.86328125
425,2754.1743164063
426,2766.8359375
427,2767.5571289063
428,2823.3237304688
429,2838.1083984375
430,2857.79296875
431,2919.6533203125
432,2932.3530273438
433,2891.7221679688
434,2868.32421875
435,2839.1831054688
436,2839.1457519531
437,2803.1911621094
438,2957.3110351563
439,3065.2255859375
440,2928.0358886719
441,2791.7956542969
442,2769.9760742188
443,2764.3483886719
444,2742.2690429688
445,2727.1015625
446,2800.890625
447,2988.3129882813
448,2936.5407714844
449,2734.544921875
450,2788.8706054688
451,2819.8969726563
452,2825.603515625
453,2880.3154296875
454,2936.1108398438
455,2812.8857421875
456,2742.2265625
457,2741.4516601563
458,2785.3696289063
459,2792.0302734375
460,2893.625
461,3062.7048339844
462,2905.9494628906
463,2854.2517089844
464,2896.8950195313
465,2840.1052246094
466,2816.6201171875
467,2962.4541015625
468,2891.6040039063
469,2771.142578125
470,2743.1044921875
471,2720.8359375
472,2776.4020996094
473,2762.2077636719
474,2767.9624023438
475,2778.6303710938
476,2752.7006835938
477,2712.7473144531
478,2761.86328125
479,2772.7587890625
480,2791.5881347656
481,2733.6708984375
482,2748.8676757813
483,2814.5031738281
484,2956.634765625
485,2877.5512695313
486,3038.8693847656
487,3058.5676269531
488,2925.8637695313
489,2795.6147460938
490,2815.6557617188
491,2779.0275878906
492,2781.1538085938
493,2712.6254882813
494,2716.2060546875
495,2700.2746582031
496,2710.1979980469
497,2741.2619628906
498,2793.8896484375
499,3015.0952148438
500,3105.720703125
501,2839.8408203125
502,2705.8674316406
503,2707.5104980469
504,2671.0458984375
505,2729.5610351563
506,2768.1416015625
507,2791.8786621094
508,2872.2563476563
509,2778.0327148438
510,2708.3530273438
511,2727.6762695313
512,2753.2358398438
513,2673.2072753906
514,2729.7856445313
515,2787.2124023438
516,2846.5844726563
517,2882.4270019531
518,2752.349609375
519,2757.208984375
520,2721.7214355469
521,2746.0187988281
522,2700.6755371094
523,2718.9875488281
524,2693.7084960938
525,2731.8271484375
526,2700.9519042969
527,2688.5998535156
528,2682.4938964844
529,2684.9387207031
530,2713.3132324219
531,2735.3420410156
532,2844.9609375
533,2882.5615234375
534,2761.3432617188
535,2772.939453125
536,2906.5083007813
537,2748.2290039063
538,2725.2763671875
539,2725.99609375
540,2851.9907226563
541,2769.5791015625
542,2743.3337402344
543,2794.0859375
544,2676.51171875
545,2683.5146484375
546,2683.3474121094
547,2754.3937988281
548,2743.8122558594
549,2804.2707519531
550,2973.7846679688
551,2887.6472167969
552,2773.3540039063
553,2740.21484375
554,2727.783203125
555,2764.5678710938
556,2753.2553710938
557,2797.0981445313
558,2820.7270507813
559,2740.4638671875
560,2747.2209472656
561,2844.4458007813
562,2955.4990234375
563,2786.6262207031
564,2795.0668945313
565,2734.6166992188
566,2732.5029296875
567,2804.4208984375
568,2780.685546875
569,2766.494140625
570,2792.001953125
571,2736.6977539063
572,2733.576171875
573,2719.7138671875
574,2699.6630859375
575,2723.4931640625
576,2729.8269042969
577,2741.5727539063
578,3055.7407226563
579,2891.3969726563
580,2806.0634765625
581,2827.2705078125
582,2723.5661621094
583,2764.7939453125
584,2797.236328125
585,2743.6867675781
586,2712.0490722656
587,2703.4741210938
588,2759.9604492188
589,2921.4958496094
590,2946.9050292969
591,2830.7680664063
592,2809.5063476563
593,2904.9956054688
594,2807.767578125
595,2770.4819335938
596,2750.5480957031
597,2756.5395507813
598,2758.9035644531
599,2754.0275878906
600,2773.150390625
601,2775.4147949219
602,2878.5830078125
603,2781.07421875
604,2742.3732910156
605,2796.0869140625
606,2744.7094726563
607,2696.3745117188
608,2670.2280273438
609,2650.208984375
610,2649.0534667969
611,2791.4868164063
612,2705.6623535156
613,2725.0869140625
614,2733.46875
615,2726.9916992188
616,2750.1005859375
617,2775.8864746094
618,2914.3991699219
619,2777.5434570313
620,2774.4204101563
621,2761.4951171875
622,2767.212890625
623,2774.2138671875
624,2788.3232421875
625,2780.5053710938
626,2702.013671875
627,2709.9421386719
628,2692.7902832031
629,2688.7124023438
630,2712.9240722656
631,2715.5729980469
632,2701.3830566406
633,2716.8369140625
634,2702.5622558594
635,2655.4223632813
636,2711.7275390625
637,2783.6044921875
638,2735.78515625
639,2662.2670898438
640,2653.4321289063
641,2677.6147460938
642,2730.9462890625
643,2713.2197265625
644,2726.0092773438
645,2676.3332519531
646,2647.3615722656
647,2687.5642089844
648,2658.8112792969
649,2653.587890625
650,2629.6335449219
651,2652.4948730469
652,2706.822265625
653,2755.6572265625
654,2836.6821289063
655,2796.0217285156
656,2752.5141601563
657,2719.4020996094
658,2653.7568359375
659,2687.5991210938
660,2673.9057617188
661,2663.5419921875
662,2681.6586914063
663,2669.33203125
664,2730.97265625
665,2842.306640625
666,2930.0959472656
667,2753.2021484375
668,2698.9167480469
669,2736.3276367188
670,2675.3107910156
671,2665.6848144531
672,2642.439453125
673,2627.1589355469
674,2669.9294433594
675,2691.1313476563
676,2646.6293945313
677,2673.6430664063
678,2636.2553710938
679,2666.2133789063
680,2645.9750976563
681,2740.8654785156
682,2821.330078125
683,2743.8408203125
684,2665.1354980469
685,2699.7119140625
686,2657.9506835938
687,2717.7583007813
688,2701.5400390625
689,2668.8854980469
690,2634.9296875
691,2686.1279296875
692,2653.4611816406
693,2639.8071289063
694,2673.8232421875
695,2625.8686523438
696,2666.876953125
697,2680.9887695313
698,2736.4499511719
699,2681.2036132813
700,2709.009765625
701,2850.6381835938
702,2698.6591796875
703,2654.6064453125
704,2652.7685546875
705,2619.9711914063
706,2634.0551757813
707,2725.8232421875
708,2753.5109863281
709,2679.3461914063
710,2712.9482421875
711,2628.029296875
712,2668.6552734375
713,2635.8666992188
714,2628.609375
715,2657.5861816406
716,2620.6081542969
717,2616.0910644531
718,2598.5234375
719,2596.6997070313
720,2650.1259765625
721,2673.8002929688
722,2751.1713867188
723,2661.7312011719
724,2601.6806640625
725,2591.439453125
726,2578.1430664063
727,2570.9575195313
728,2569.6960449219
729,2563.353515625
730,2572.291015625
731,2571.3349609375
732,2668.5256347656
733,2781.9956054688
734,2722.9731445313
735,2604.9289550781
736,2642.7705078125
737,2687.3049316406
738,2706.4321289063
739,2677.5471191406
740,2629.75390625
741,2601.2565917969
742,2634.1787109375
743,2699.640625
744,2668.3598632813
745,2550.078125
746,2650.892578125
747,2629.4213867188
748,2644.0419921875
749,2670.2612304688
750,2601.5322265625
751,2613.9990234375
752,2626.7282714844
753,2749.6455078125
754,2663.0698242188
755,2686.5009765625
756,2709.2153320313
757,2685.921875
758,2673.3723144531
759,2774.6350097656
760,2709.2365722656
761,2649.7299804688
762,2650.0063476563
763,2601.6508789063
764,2610.4694824219
765,2594.919921875
766,2590.314453125
767,2595.1806640625
768,2634.0437011719
769,2644.2268066406
770,2616.6694335938
771,2617.5092773438
772,2640.6003417969
773,2616.4448242188
774,2682.0168457031
775,2644.0759277344
776,2621.44921875
